bank_name,total_loans_m,total_assets_m,loan_to_asset_ratio
Commonwealth Bank of Australia,913168.3,1202413.7,75.9
Westpac Banking Corporation,773690.8,1137253.0,68.0
National Australia Bank Limited,673168.2,996471.4,67.6
Australia and New Zealand Banking Group Limited,512919.5,744431.8,68.9
Macquarie Bank Limited,201905.0,340243.5,59.3
ING Bank (Australia) Limited,86936.9,115823.9,75.1
Bendigo and Adelaide Bank Limited,83674.4,113284.8,73.9
Bank of Queensland Limited,69451.7,112943.9,61.5
Norfina Limited,73689.9,95478.6,77.2
HSBC Bank Australia Limited,39057.0,67250.2,58.1
